ID,title,paymentMethod,couponDiscount,purchaseValue,giftwrapping,throughAffiliate,shippingFees,dvd,blueray,vinyl,videogame,videogameDownload,tvEquiment,prodOthers,prodSecondHand,returnCustomer
1,Mr,Current Account,1,2,0,1,0,0,1,0,0,0,0,0,0,0
3,Mr,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,Mr,Cash,0,4,0,0,0,0,0,1,0,0,0,0,0,0
7,Mr,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0
8,Mr,Cash,0,4,0,1,0,2,0,0,0,0,0,0,0,0
9,Mr,Credit Card,1,4,0,0,0,4,0,0,0,0,0,0,0,0
10,Mr,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0
11,Mrs,Invoice,0,5,0,1,0,3,0,0,0,0,0,0,0,0
12,Company,Current Account,1,1,0,1,1,0,1,0,0,0,0,0,0,0
13,Mr,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0
14,Mrs,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,0
15,Mr,Current Account,0,5,0,1,0,0,0,0,0,0,0,0,0,0
16,Company,Credit Card,0,3,0,0,0,0,0,0,0,1,0,0,0,0
17,Mr,Invoice,0,3,0,0,1,0,0,0,0,0,0,0,0,0
18,Mrs,Credit Card,0,3,0,0,0,1,0,0,0,0,0,0,0,0
19,Mrs,Invoice,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Mr,Invoice,0,2,0,0,1,1,0,0,0,0,0,0,0,0
21,Mr,Credit Card,0,5,0,1,0,4,0,0,0,0,0,0,0,0
22,Mr,Cash,0,3,0,1,0,1,0,0,0,0,0,0,0,0
24,Mr,Invoice,0,3,0,1,0,0,3,0,0,0,0,0,0,0
25,Others,Current Account,0,3,0,0,0,0,2,0,0,0,0,0,0,0
26,Company,Invoice,0,4,0,1,0,0,0,0,0,0,0,0,0,0
27,Mr,Invoice,0,4,0,1,0,0,0,0,0,0,0,0,0,0
28,Mrs,Current Account,0,3,0,0,1,1,0,0,0,0,0,0,0,0
29,Mr,Invoice,1,1,0,0,0,0,0,0,0,1,0,0,0,0
31,Company,Credit Card,0,3,0,1,0,0,0,0,0,0,0,0,0,1
32,Mr,Current Account,0,1,0,0,0,0,0,0,0,1,0,0,0,0
33,Mrs,Invoice,0,4,0,0,0,0,2,0,0,0,0,0,0,1
35,Others,Invoice,1,1,0,1,0,0,0,0,0,0,0,0,0,0
36,Mr,Invoice,0,4,0,1,0,2,0,0,0,0,0,0,0,0
37,Mr,Cash,0,4,0,0,0,2,0,0,0,0,0,0,0,0
38,Mrs,Current Account,0,4,0,0,0,0,0,0,0,0,0,0,0,0
41,Mr,Current Account,0,2,0,0,1,0,0,0,0,0,0,0,0,0
42,Mrs,Invoice,0,3,0,1,1,1,0,0,0,0,0,0,0,0
44,Mr,Invoice,0,2,0,0,1,1,0,0,0,0,0,0,1,0
45,Others,Invoice,0,3,0,0,0,1,0,0,0,0,0,0,0,0
46,Mr,Invoice,0,5,0,1,0,5,0,3,0,0,0,0,0,1
47,Mr,Invoice,0,5,0,1,0,2,0,0,0,0,0,0,0,1
49,Mr,Cash,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,Mr,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
51,Mrs,Current Account,1,5,0,1,0,3,1,0,0,0,0,0,0,0
52,Mrs,Invoice,1,4,0,0,0,0,0,0,0,0,0,0,0,0
53,Mr,Current Account,0,2,0,0,1,0,0,0,0,0,0,0,0,0
54,Mr,Current Account,1,2,0,1,0,1,0,0,0,0,0,0,0,0
55,Mrs,Credit Card,0,5,0,1,0,0,0,0,0,0,0,0,0,0
56,Company,Invoice,1,1,0,1,0,0,3,0,0,0,0,0,0,0
58,Mrs,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,0,1
59,Mr,Cash,0,1,0,1,0,0,0,0,1,0,0,0,0,0
60,Company,Credit Card,0,5,0,1,0,2,0,0,0,0,0,0,0,0
61,Mrs,Cash,0,1,0,0,0,1,0,0,0,0,0,0,0,0
62,Mr,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
63,Mr,Current Account,0,2,0,0,1,1,0,0,0,0,0,0,0,0
64,Mrs,Invoice,0,5,0,0,0,3,0,0,0,0,0,0,0,1
65,Others,Cash,0,4,0,0,0,0,0,0,0,0,0,0,0,0
67,Mrs,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
68,Others,Credit Card,0,2,0,0,1,0,0,0,0,0,0,0,1,0
69,Mrs,Invoice,0,3,0,0,0,2,0,0,0,0,0,0,0,1
70,Mrs,Invoice,0,1,0,0,1,2,0,0,0,0,0,0,0,0
71,Others,Invoice,0,3,0,0,0,2,0,0,0,0,0,0,0,0
72,Mrs,Invoice,0,3,0,0,0,0,0,0,0,0,0,0,0,0
73,Mrs,Credit Card,0,3,0,0,0,1,0,0,0,0,0,0,0,0
74,Others,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,1
75,Mr,Invoice,0,2,0,1,1,0,0,0,0,0,0,0,0,0
76,Others,Invoice,0,5,0,1,0,4,0,0,0,0,0,0,0,1
77,Mrs,Invoice,0,1,0,0,0,0,0,0,0,1,0,0,0,0
78,Mrs,Current Account,0,4,0,0,0,0,0,1,0,0,0,0,0,0
79,Mr,Current Account,0,3,0,0,0,2,0,0,0,0,0,0,0,0
80,Mr,Invoice,0,4,0,0,0,2,0,0,0,0,0,0,0,1
81,Mrs,Invoice,0,3,0,0,0,1,0,0,0,0,0,0,0,0
83,Mrs,Credit Card,0,1,0,0,0,0,0,0,0,1,0,0,0,0
84,Mr,Current Account,0,3,0,0,0,0,0,0,0,0,0,0,0,0
85,Mrs,Credit Card,0,3,0,0,0,0,0,0,0,0,0,0,0,0
86,Company,Cash,0,4,0,0,0,2,0,0,0,0,0,0,0,0
87,Mr,Credit Card,0,4,0,1,0,0,0,0,0,0,0,0,0,0
88,Mr,Current Account,1,3,0,0,0,1,2,0,0,0,0,0,0,0
90,Mrs,Current Account,0,2,0,0,1,0,0,0,0,0,0,0,1,0
91,Others,Invoice,0,5,0,0,0,3,0,0,0,0,0,0,0,0
93,Mr,Invoice,0,3,0,0,0,1,0,2,0,0,0,0,0,1
94,Mr,Invoice,1,2,0,1,0,2,0,0,0,0,0,0,0,1
95,Mr,Invoice,1,4,0,0,0,2,0,0,0,0,0,0,0,0
96,Mr,Invoice,0,2,0,0,0,0,0,0,0,1,0,0,0,0
97,Mr,Invoice,1,3,0,0,0,1,0,0,0,0,0,0,0,0
98,Mr,Cash,0,3,0,1,0,2,0,0,0,0,0,0,0,0
99,Others,Invoice,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,Others,Invoice,0,3,0,1,0,0,0,0,0,0,0,0,0,0
101,Mr,Current Account,1,4,0,0,0,5,0,0,0,0,0,0,0,0
103,Mrs,Current Account,0,4,0,0,0,0,0,0,0,0,0,0,0,0
104,Mr,Invoice,0,5,0,1,0,3,0,0,0,0,0,0,0,0
105,Mr,Invoice,1,3,0,0,0,0,3,0,0,0,0,0,0,0
106,Mr,Invoice,1,1,0,1,0,0,3,0,0,0,0,0,0,0
107,Mrs,Invoice,1,1,0,1,0,1,0,0,0,0,0,0,0,0
108,Mrs,Current Account,0,3,0,1,1,1,0,0,0,0,0,0,0,0
109,Mr,Current Account,0,3,0,0,0,0,0,0,0,0,0,0,0,0
110,Mrs,Invoice,0,3,0,0,0,1,1,0,0,0,0,0,0,0
113,Others,Cash,0,1,0,1,0,1,0,0,0,0,0,0,0,0
114,Mrs,Current Account,0,3,0,0,0,0,0,1,0,0,0,0,0,1
115,Others,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,1
116,Mrs,Credit Card,0,2,0,0,1,1,0,0,0,0,0,0,0,0
118,Mrs,Cash,0,1,0,1,0,1,0,0,0,0,0,0,0,0
119,Mrs,Cash,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,Mrs,Cash,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,Mr,Cash,0,2,0,1,0,1,0,0,0,0,0,1,0,0
122,Company,Invoice,0,4,0,0,0,1,0,0,0,0,0,0,0,0
124,Mr,Cash,0,1,0,1,0,0,0,0,1,0,0,0,0,0
125,Mrs,Current Account,0,1,0,0,0,0,0,0,0,0,0,0,0,1
126,Mr,Credit Card,0,2,0,0,0,0,0,0,0,1,0,0,0,0
127,Others,Credit Card,0,4,0,0,0,0,0,2,0,0,0,0,0,0
128,Mr,Credit Card,0,2,0,0,0,0,0,0,0,1,0,0,0,0
129,Mr,Invoice,0,2,0,0,1,0,1,0,0,0,0,0,0,0
130,Mrs,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0
131,Mrs,Invoice,0,2,0,1,1,0,0,1,0,0,0,0,0,0
132,Others,Current Account,0,2,0,0,0,0,0,0,0,0,0,0,0,1
134,Mr,Cash,0,3,0,1,0,2,0,0,0,0,0,0,0,1
135,Mr,Credit Card,0,5,0,0,0,1,0,0,0,0,0,0,0,0
136,Mr,Invoice,1,4,0,1,0,1,0,0,0,0,0,0,0,0
137,Mrs,Credit Card,0,2,0,0,1,0,0,0,0,0,0,0,0,0
138,Mr,Cash,0,1,0,0,0,0,1,0,0,0,0,0,0,1
139,Mr,Current Account,0,3,0,0,0,0,0,0,0,0,0,0,0,0
